rank,gid,role,priority_score,why
1,100000003115284100,consolidator,1.0,"точка консолидации: получает 2,2 млн ₸ от 8 плательщиков, отдаёт дальше 24% полученного — признаки консолидации. Дошло 850 тыс ₸ денег курьеров — 2% от всех; путь сюда есть у 11 из 81 seed-клиентов; оборот 2,7 млн ₸; посредник: betweenness выше, чем у 94% узлов"
2,100000004015047100,consolidator,0.9302,"точка консолидации: получает 919 тыс ₸ от 9 плательщиков, отдаёт дальше 8% полученного — признаки консолидации. Дошло 585 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 11 из 81 seed-клиентов; оборот 988 тыс ₸"
3,100000006889963100,consolidator,0.9289,"точка консолидации: получает 1,4 млн ₸ от 4 плательщиков, отдаёт дальше 31% полученного — признаки консолидации. Дошло 533 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 11 из 81 seed-клиентов; оборот 1,9 млн ₸"
4,100000002173161100,consolidator,0.9088,"точка консолидации: получает 1,4 млн ₸ от 3 плательщиков, отдаёт дальше 0% полученного — признаки консолидации. Дошло 871 тыс ₸ денег курьеров — 2% от всех; путь сюда есть у 9 из 81 seed-клиентов; оборот 1,4 млн ₸"
5,100000002894076100,consolidator,0.9049,"точка консолидации: получает 1,1 млн ₸ от 4 плательщиков, отдаёт дальше 0% полученного — признаки консолидации. Дошло 822 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 10 из 81 seed-клиентов; оборот 1,1 млн ₸"
6,100000001072022100,consolidator,0.8969,"точка консолидации: получает 1,7 млн ₸ от 3 плательщиков, отдаёт дальше 0% полученного — признаки консолидации. Дошло 748 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 10 из 81 seed-клиентов; оборот 1,7 млн ₸"
7,100000000706545100,consolidator,0.8962,"точка консолидации: получает 1,1 млн ₸ от 3 плательщиков, отдаёт дальше 7% полученного — признаки консолидации. Дошло 731 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 7 из 81 seed-клиентов; оборот 1,1 млн ₸"
8,100000001527186100,consolidator,0.8716,"точка консолидации: сюда дошло 678 тыс ₸ денег курьеров (1% от всех) от 1 плательщика, дальше ушло 0% — признаки консолидации. Дошло 678 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 10 из 81 seed-клиентов; оборот 678 тыс ₸"
9,100000003404627100,consolidator,0.8677,"точка консолидации: получает 878 тыс ₸ от 4 плательщиков, отдаёт дальше 0% полученного — признаки консолидации. Дошло 614 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 11 из 81 seed-клиентов; оборот 878 тыс ₸"
10,100000002838861100,consolidator,0.8566,"точка консолидации: получает 555 тыс ₸ от 5 плательщиков, отдаёт дальше 2% полученного — признаки консолидации. Дошло 403 тыс ₸ денег курьеров — 1% от всех; путь сюда есть у 8 из 81 seed-клиентов; оборот 565 тыс ₸"
